Designator,Footprint,Quantity,Value,LCSC Part #
A1,Pololu_Breakout-16_15.2x20.3mm,1,Pololu_Breakout_A4988,
C10,C_Elec_8x10.2,1,100uF,
"C11, C12, C6, C8, C9",0805,5,100nF,
"C2, C3, C4",0805,3,10uF,
"C5, C7",0805,2,1uF,
D1,SOT-23-6,1,USBLC6-2SC6,
"D10, D3, D6, D8",D_SMA-SMB_Universal_Handsoldering_NoSilk,4,1N4007,
"D11, D12",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,2,SK6812MINI-E,
"D2, D4, D5, D7, D9",0805,5,LED,
FB1,0805,1,FerriteBead,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_OTG,
J10,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal_NoTriangle,1,LED_CH4,
J11,2EDGK_5.08_2P_M_NEW,1,12VIN,
J12,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,J_SR04,
J13,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,J_DS18B20_1,
J14,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,J_DS18B20_2,
J15,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,J_DS18B20_3,
J16,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,J_DS18B20_4,
J17,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,J_STATUS,
J18,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,J_SERVO,
J19,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,J_TURBIDITY,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,J_UART,
J20,2EDGK_5.08_2P_M_NEW,1,5VIN,
J21,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,J_TDS,
J22,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,J_PH,
J23,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,J_STEPPER,
J24,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,J_5V_LCD,
J25,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,J_5V_NEXTION,
J26,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,J_3V3_LUX,
J27,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,J_SERVO2,
J28,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,J_ENDS,
J29,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,5VPI,
J3,2EDGK_5.08_2P_M_NEW,1,OUT_CH1,
J4,2EDGK_5.08_2P_M_NEW,1,OUT_CH2,
J5,2EDGK_5.08_2P_M_NEW,1,OUT_CH3,
J6,2EDGK_5.08_2P_M_NEW,1,OUT_CH4,
J7,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal_NoTriangle,1,LED_CH1,
J8,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal_NoTriangle,1,LED_CH2,
J9,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal_NoTriangle,1,LED_CH3,
"K1, K2, K3, K4",Relay_SPDT_SANYOU_SRD_Series_Form_C_NoInSilk,4,SANYOU_SRD_Form_C,
"Q1, Q2, Q3, Q4",SOT-23,4,MMBT2222A,
"Q5, Q6, Q7, Q8",SO-8FL_DFN5x6,4,AON6980,
"R1, R2",0805,2,5.1K,
"R10, R13, R16, R28, R31, R33, R35, R6",0805,8,1K,
"R11, R14, R29, R3, R32, R34, R36, R7, R8",0805,9,2K,
"R12, R15, R5, R9",0805,4,100K,
"R17, R18",0805,2,33,
R19,0805,1,220,
"R20, R23, R25, R27, R37, R38, R39, R4, R40, R41, R42",0805,11,10K,
"R21, R22, R24, R26",0805,4,47,
R30,0805,1,4.7K,
SW1,SW_SPST_TS-1088-xR020,1,SW_RST,
SW2,SW_SPST_TS-1088-xR020,1,SW_BOOT,
SW3,SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm,1,SW_DIP_x03,
U1,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,INA3221_Module_P2.54mm_NoVPU_NoExtraGnds,1,INA3221_Module,
