Designator,Mid X,Mid Y,Rotation,Layer
A1,239.49,-135.5,180.0,top
C10,210.1,-125.5,180.0,top
C11,242.5,-124.0,180.0,top
C12,243.4,-143.3,270.0,bottom
C2,231.1125,-71.85,90.0,top
C3,233.7,-71.9,90.0,top
C4,260.4625,-76.5,0.0,top
C5,260.4625,-78.5,0.0,top
C6,260.4625,-80.52,0.0,top
C7,255.3625,-125.545,0.0,bottom
C8,186.0,-138.7375,90.0,bottom
C9,183.5,-138.7375,90.0,bottom
D1,249.5,-114.86,0.0,top
D10,196.0,-78.0,90.0,bottom
D11,191.0,-144.0,0.0,bottom
D12,183.0,-144.0,0.0,bottom
D2,226.0,-76.5,90.0,top
D3,196.0,-128.5,90.0,bottom
D4,178.975,-135.0,0.0,top
D5,179.0,-118.0,0.0,top
D6,196.0,-111.5,90.0,bottom
D7,178.975,-101.0,0.0,top
D8,196.0,-94.5,90.0,bottom
D9,179.0,-84.5,0.0,top
FB1,228.6125,-71.85,270.0,top
H1,172.697056,-57.197056,0.0,top
H2,258.302944,-57.197056,0.0,top
H3,172.5,-143.0,0.0,top
H4,258.302944,-143.0,0.0,top
J1,258.95,-115.18,90.0,top
J10,201.12,-143.525,0.0,top
J11,185.0,-63.5,0.0,top
J12,223.75,-98.4,0.0,top
J13,211.0,-90.9,0.0,top
J14,211.0,-98.5,0.0,top
J15,211.0,-106.0,0.0,top
J16,211.0,-113.5,0.0,top
J17,233.839104,-113.4,0.0,top
J18,222.5,-106.0,0.0,top
J19,242.375,-68.0,90.0,top
J2,256.25,-105.5,0.0,top
J20,198.0,-63.5,0.0,top
J21,250.175,-68.0,90.0,top
J22,257.975,-68.0,90.0,top
J23,250.34,-135.36,90.0,top
J24,217.75,-71.0,0.0,top
J25,223.75,-91.0,0.0,top
J26,217.75,-78.0,0.0,top
J27,222.4,-113.4,0.0,top
J28,233.75,-106.0,0.0,top
J29,227.0,-58.25,270.0,top
J3,179.0,-126.5,90.0,top
J4,179.0,-109.5,90.0,top
J5,179.0,-92.5,90.0,top
J6,179.0,-76.0,90.0,top
J7,222.12,-143.525,0.0,top
J8,215.16,-143.525,0.0,top
J9,208.12,-143.525,0.0,top
K1,192.9,-128.375,180.0,top
K2,192.9,-111.425,180.0,top
K3,192.9,-94.475,180.0,top
K4,192.95,-77.925,180.0,top
Q1,191.5,-124.5,270.0,bottom
Q2,191.5,-107.5,270.0,bottom
Q3,191.5,-90.5,270.0,bottom
Q4,191.45,-71.5,270.0,bottom
Q5,223.96,-138.525,90.0,bottom
Q6,217.075,-138.525,90.0,bottom
Q7,210.29,-138.525,90.0,bottom
Q8,203.365,-138.525,90.0,bottom
R1,252.5,-118.18,90.0,top
R10,191.475,-113.5,180.0,bottom
R11,191.5,-99.0,0.0,bottom
R12,191.5,-94.0,180.0,bottom
R13,191.5,-96.5,180.0,bottom
R14,191.525,-80.0,0.0,bottom
R15,191.5,-75.0,180.0,bottom
R16,191.475,-77.5,180.0,bottom
R17,249.5,-117.68,0.0,top
R18,249.5,-111.68,0.0,top
R19,189.0,-138.7375,270.0,bottom
R2,252.5,-112.18,270.0,top
R20,222.89,-133.025,90.0,bottom
R21,225.89,-133.025,270.0,bottom
R22,218.725,-133.025,270.0,bottom
R23,215.725,-133.025,90.0,bottom
R24,212.16,-133.025,270.0,bottom
R25,209.16,-133.0,90.0,bottom
R26,204.955,-133.025,270.0,bottom
R27,201.955,-133.025,90.0,bottom
R28,229.75,-97.25,90.0,bottom
R29,232.25,-97.25,90.0,bottom
R3,228.5,-76.5,270.0,top
R30,209.9,-88.6,180.0,bottom
R31,244.0,-76.0,90.0,top
R32,246.5,-76.0,270.0,top
R33,249.0,-76.0,90.0,top
R34,251.5,-76.025,270.0,top
R35,254.0,-76.0,90.0,top
R36,256.5,-75.975,270.0,top
R37,229.5,-128.975,180.0,top
R38,229.5,-131.5,180.0,top
R39,229.5,-134.0,180.0,top
R4,255.3625,-123.045,180.0,bottom
R40,229.5,-126.5,180.0,top
R41,246.525,-97.0,0.0,bottom
R42,246.5,-94.0,0.0,bottom
R5,191.5,-128.0,180.0,bottom
R6,191.475,-130.5,180.0,bottom
R7,191.525,-133.0,0.0,bottom
R8,191.5,-116.0,0.0,bottom
R9,191.5,-111.0,180.0,bottom
SW1,258.5,-123.0,180.0,top
SW2,258.5,-127.0,180.0,top
SW3,239.46,-130.19,90.0,top
U1,252.91,-91.9,270.0,top
U2,233.6125,-78.3875,90.0,top
U3,221.7667,-72.5752,180.0,bottom
